millis,action,mouse.x,mouse.y
2952,mousePosition,122.0,324.0
4144,mouseReleased,993.0,1035.0
4280,mousePosition,993.0,1035.0
5584,mousePosition,231.0,488.7
6756,mouseReleased,231.0,488.7
6881,mousePosition,231.0,488.7
8200,mousePosition,1060.0,776.7
9466,mousePosition,1060.0,776.7
10758,mousePosition,1060.0,776.7
12002,mousePosition,1060.0,776.7
13292,mousePosition,1060.0,776.7
14568,mousePosition,1060.0,776.7
15824,mousePosition,1060.0,776.7
17092,mousePosition,1140.0,952.2
18435,mousePosition,1123.0,934.2
19685,mousePosition,998.0,778.5
20994,mousePosition,1217.0,800.1
22266,mousePosition,1330.0,1079.1
23543,mousePosition,960.0,881.1
24816,mousePosition,1015.0,773.1
26105,mousePosition,1003.0,786.6
27368,mousePosition,1003.0,786.6
28588,mousePosition,996.0,800.1
29338,mouseReleased,920.0,624.6
29871,mousePosition,768.0,892.8
29912,mouseReleased,767.0,893.7
30470,mouseReleased,991.0,1027.8
31169,mouseReleased,1837.0,720.0
31211,mousePosition,1837.0,720.0
32504,mousePosition,1130.0,933.3
33776,mousePosition,1129.0,926.1
35059,mousePosition,1128.0,925.2
36432,mousePosition,1086.0,817.2
37668,mousePosition,1134.0,937.8
38986,mousePosition,1155.0,932.4
39398,mouseReleased,1150.0,931.5
40210,mouseReleased,1140.0,942.3
40298,mousePosition,1140.0,942.3
41598,mousePosition,1140.0,940.5
42987,mousePosition,1142.0,918.9
44282,mousePosition,1142.0,918.9
45676,mousePosition,1258.0,778.5
46974,mousePosition,1716.0,704.7
48368,mousePosition,1404.0,648.9
49665,mousePosition,1139.0,716.4
51066,mousePosition,1147.0,713.7
52357,mousePosition,1147.0,713.7
53829,mousePosition,1260.0,699.3
55208,mousePosition,1256.0,692.1
56507,mousePosition,1324.0,660.6
57867,mousePosition,1445.0,577.8
59161,mousePosition,1445.0,577.8
59634,,1445.0,577.8
59634,exit,1445.0,577.8
