millis,action,mouse.x,mouse.y
2344,mousePosition,1027.0,1033.0
2542,mouseReleased,1027.0,1033.0
2980,mousePosition,623.0,702.0
3299,mouseReleased,288.0,514.0
3670,mousePosition,288.0,514.0
4377,mousePosition,288.0,514.0
5074,mousePosition,288.0,514.0
5772,mousePosition,289.0,514.0
6474,mousePosition,289.0,514.0
7177,mousePosition,535.0,472.0
7876,mousePosition,857.0,239.0
8571,mousePosition,889.0,184.0
9273,mousePosition,881.0,173.0
9966,mousePosition,879.0,189.0
10663,mousePosition,879.0,189.0
11363,mousePosition,879.0,189.0
12060,mousePosition,879.0,189.0
12750,mousePosition,879.0,189.0
13446,mousePosition,879.0,189.0
14138,mousePosition,879.0,189.0
14833,mousePosition,1388.0,391.0
14968,mouseReleased,1388.0,391.0
15537,mousePosition,1259.0,414.0
16207,mouseReleased,1027.0,998.0
16229,mousePosition,1027.0,998.0
16922,mousePosition,1371.0,562.0
17615,mousePosition,1378.0,510.0
18309,mousePosition,1315.0,486.0
19003,mousePosition,1113.0,293.0
19702,mousePosition,1113.0,293.0
20398,mousePosition,1113.0,293.0
20896,mouseReleased,1113.0,293.0
21103,mousePosition,1113.0,293.0
21775,mousePosition,1870.0,601.0
22459,mousePosition,1868.0,600.0
22481,mouseReleased,1868.0,600.0
23151,mousePosition,1325.0,597.0
23842,mousePosition,1186.0,718.0
24531,mousePosition,1123.0,918.0
25228,mousePosition,1123.0,918.0
25932,mousePosition,1124.0,907.0
26628,mousePosition,1124.0,907.0
27332,mousePosition,1124.0,907.0
28035,mousePosition,1171.0,857.0
28719,mousePosition,1284.0,669.0
29204,mouseReleased,1272.0,680.0
29415,mousePosition,1272.0,680.0
30115,mousePosition,1018.0,1001.0
30139,mouseReleased,1018.0,1001.0
30808,mousePosition,886.0,653.0
31502,mousePosition,891.0,188.0
32194,mousePosition,808.0,179.0
32775,mouseReleased,812.0,180.0
32891,mousePosition,818.0,188.0
33588,mousePosition,864.0,209.0
34285,mousePosition,864.0,207.0
34354,mouseReleased,864.0,207.0
34967,mousePosition,878.0,610.0
35669,mousePosition,886.0,624.0
36253,mouseReleased,886.0,624.0
36368,mousePosition,883.0,628.0
37067,mousePosition,852.0,730.0
37759,mousePosition,849.0,731.0
37992,mouseReleased,849.0,731.0
38460,mousePosition,1016.0,735.0
38880,,1019.0,705.0
38880,exit,1019.0,705.0
