millis,action,mouse.x,mouse.y
2309,mousePosition,991.0,1003.0
2506,mouseReleased,993.0,1003.0
2905,mousePosition,972.0,900.0
3276,mouseReleased,358.0,553.0
3569,mousePosition,651.0,524.0
4229,mouseReleased,846.0,375.0
4258,mousePosition,846.0,375.0
4955,mousePosition,696.0,829.0
5000,mouseReleased,696.0,829.0
5635,mousePosition,832.0,194.0
6324,mousePosition,810.0,185.0
7015,mousePosition,817.0,185.0
7704,mousePosition,817.0,184.0
7747,mouseReleased,817.0,184.0
8376,mousePosition,724.0,837.0
8542,mouseReleased,713.0,832.0
9050,mousePosition,885.0,282.0
9733,mousePosition,861.0,211.0
10412,mousePosition,867.0,213.0
10912,mouseReleased,866.0,211.0
11091,mousePosition,866.0,211.0
11780,mousePosition,863.0,211.0
12138,mouseReleased,867.0,211.0
12455,mousePosition,867.0,211.0
12982,mouseReleased,862.0,214.0
13142,mousePosition,862.0,214.0
13823,mousePosition,708.0,865.0
13960,mouseReleased,708.0,855.0
14494,mousePosition,874.0,265.0
15181,mousePosition,864.0,214.0
15765,mouseReleased,864.0,209.0
15858,mousePosition,864.0,209.0
16532,mousePosition,683.0,840.0
16602,mouseReleased,683.0,839.0
17208,mousePosition,884.0,661.0
17885,mousePosition,888.0,625.0
18567,mousePosition,885.0,624.0
18796,mouseReleased,885.0,624.0
19256,mousePosition,852.0,672.0
19574,mouseReleased,746.0,825.0
19940,mousePosition,735.0,829.0
19940,mouseReleased,735.0,829.0
20617,mousePosition,857.0,706.0
21297,mousePosition,849.0,727.0
21344,mouseReleased,849.0,727.0
21974,mousePosition,850.0,727.0
22047,mouseReleased,850.0,727.0
22656,mousePosition,848.0,724.0
22930,mouseReleased,853.0,728.0
23343,mousePosition,851.0,725.0
23497,mouseReleased,851.0,725.0
23997,mouseReleased,850.0,724.0
24021,mousePosition,850.0,724.0
24522,mouseReleased,850.0,722.0
24702,mousePosition,850.0,722.0
25277,mouseReleased,715.0,862.0
25395,mousePosition,715.0,862.0
26072,mousePosition,977.0,982.0
26755,mousePosition,1001.0,931.0
27433,mousePosition,1001.0,931.0
28109,mousePosition,1019.0,920.0
28785,mousePosition,1054.0,521.0
29454,mousePosition,1121.0,241.0
30127,mousePosition,1137.0,204.0
30804,mousePosition,1132.0,204.0
31487,mousePosition,1135.0,205.0
32165,mousePosition,1131.0,205.0
32188,mouseReleased,1131.0,205.0
32846,mousePosition,1023.0,802.0
33531,mousePosition,1010.0,1006.0
34205,mousePosition,1838.0,580.0
34249,mouseReleased,1838.0,580.0
34875,mousePosition,1082.0,231.0
35556,mousePosition,1105.0,221.0
36194,mouseReleased,1103.0,221.0
36241,mousePosition,1103.0,221.0
36923,mousePosition,1772.0,635.0
37449,mouseReleased,1828.0,591.0
37612,mousePosition,1770.0,601.0
38275,mousePosition,1129.0,582.0
38953,mousePosition,1089.0,570.0
39385,mouseReleased,1087.0,569.0
39634,mousePosition,1087.0,570.0
40065,mouseReleased,1088.0,571.0
40311,mousePosition,1091.0,576.0
40986,mousePosition,1107.0,637.0
41592,mouseReleased,1111.0,643.0
41661,mousePosition,1111.0,643.0
42342,mousePosition,1111.0,643.0
43021,mousePosition,1112.0,642.0
43697,mousePosition,1112.0,641.0
44380,mousePosition,1112.0,641.0
45060,mousePosition,1140.0,375.0
45730,mousePosition,1111.0,228.0
46410,mousePosition,1103.0,222.0
47081,mousePosition,1103.0,222.0
47760,mousePosition,1102.0,222.0
48013,mouseReleased,1102.0,222.0
48446,mousePosition,1102.0,222.0
49139,mousePosition,1180.0,270.0
49703,mouseReleased,1843.0,580.0
49815,mousePosition,1809.0,559.0
50494,mousePosition,1144.0,201.0
51175,mousePosition,1133.0,205.0
51786,mouseReleased,1132.0,205.0
51855,mousePosition,1132.0,205.0
52531,mousePosition,1063.0,465.0
53203,mousePosition,1071.0,576.0
53879,mousePosition,1107.0,644.0
54560,mousePosition,1111.0,644.0
55143,mouseReleased,1111.0,644.0
55234,mousePosition,1111.0,644.0
55915,mousePosition,1088.0,576.0
56589,mousePosition,1086.0,573.0
57270,mousePosition,1087.0,569.0
57862,mouseReleased,1087.0,569.0
57953,mousePosition,1087.0,569.0
58637,mousePosition,943.0,700.0
59091,,943.0,700.0
59091,exit,943.0,700.0
