millis,action,mouse.x,mouse.y
2987,mousePosition,1010.0,720.0
4273,mousePosition,922.0,625.5
5567,mousePosition,922.0,625.5
6897,mousePosition,544.0,585.0
7098,mouseReleased,556.0,590.4
8001,mouseReleased,1548.0,519.3
8163,mousePosition,1487.0,479.7
8283,mouseReleased,1384.0,477.9
8553,mouseReleased,1192.0,549.0
8715,mouseReleased,895.0,585.9
8995,mouseReleased,697.0,593.1
9436,mousePosition,371.0,421.2
9436,mouseReleased,384.0,411.3
9744,mouseReleased,546.0,419.4
10254,mouseReleased,564.0,567.0
10700,mousePosition,579.0,556.2
11966,mousePosition,566.0,565.2
12048,mouseReleased,566.0,565.2
13278,mousePosition,566.0,569.7
14535,mousePosition,613.0,578.7
15827,mousePosition,548.0,554.4
17082,mousePosition,548.0,559.8
18338,mousePosition,583.0,560.7
19613,mousePosition,583.0,560.7
20871,mousePosition,583.0,560.7
22132,mousePosition,583.0,560.7
23408,mousePosition,583.0,560.7
24669,mousePosition,583.0,560.7
25933,mousePosition,583.0,560.7
27200,mousePosition,583.0,560.7
28410,mousePosition,583.0,560.7
29694,mousePosition,583.0,560.7
30961,mousePosition,583.0,560.7
32166,mousePosition,583.0,560.7
33464,mousePosition,583.0,560.7
34754,mousePosition,583.0,560.7
35965,mousePosition,583.0,560.7
37321,mousePosition,583.0,560.7
38531,mousePosition,583.0,560.7
39877,mousePosition,583.0,560.7
41187,mousePosition,583.0,560.7
42396,mousePosition,583.0,560.7
43701,mousePosition,583.0,560.7
44915,mousePosition,583.0,560.7
46213,mousePosition,583.0,560.7
47431,mousePosition,583.0,560.7
48730,mousePosition,583.0,560.7
49868,mouseReleased,1012.0,1041.3
49951,mousePosition,1012.0,1041.3
51265,mousePosition,942.0,742.5
52477,mousePosition,916.0,749.7
53778,mousePosition,901.0,756.0
55078,mousePosition,811.0,676.8
56285,mousePosition,868.0,657.9
57662,mousePosition,905.0,651.6
58874,mousePosition,855.0,711.0
60167,mousePosition,854.0,767.7
61393,mousePosition,854.0,776.7
62701,mousePosition,817.0,793.8
64004,mousePosition,900.0,766.8
65208,mousePosition,909.0,748.8
66512,mousePosition,894.0,706.5
67715,mousePosition,894.0,706.5
68999,mousePosition,894.0,706.5
70219,mousePosition,893.0,698.4
71539,mousePosition,893.0,698.4
72744,mousePosition,893.0,698.4
74093,mousePosition,893.0,698.4
75296,mousePosition,893.0,698.4
76576,mousePosition,893.0,698.4
77874,mousePosition,893.0,698.4
79051,mousePosition,893.0,698.4
80316,mousePosition,892.0,695.7
81488,mousePosition,892.0,695.7
82737,mousePosition,827.0,544.5
83910,mousePosition,1235.0,635.4
84145,mouseReleased,1239.0,633.6
85162,mousePosition,202.0,503.1
85357,mouseReleased,202.0,503.1
86340,mousePosition,1187.0,738.9
87640,mousePosition,1210.0,574.2
88813,mousePosition,1223.0,552.6
90090,mousePosition,1223.0,552.6
91269,mousePosition,1220.0,679.5
92520,mousePosition,1088.0,668.7
93778,mousePosition,793.0,639.0
94953,mousePosition,1244.0,675.9
96226,mousePosition,1200.0,652.5
97403,mousePosition,1261.0,686.7
98684,mousePosition,1235.0,629.1
99859,mousePosition,1174.0,654.3
101124,mousePosition,1224.0,649.8
102303,mousePosition,1165.0,612.9
103552,mousePosition,1141.0,580.5
104727,mousePosition,1147.0,477.0
105996,mousePosition,1171.0,456.3
107171,mousePosition,1171.0,456.3
108500,mousePosition,999.0,732.6
109675,mousePosition,695.0,597.6
110957,mousePosition,708.0,588.6
