millis,action,mouse.x,mouse.y
2373,mousePosition,1024.0,1026.0
2373,mouseReleased,1024.0,1026.0
2953,mouseReleased,392.0,521.0
3069,mousePosition,392.0,521.0
3759,mousePosition,1084.0,386.0
4455,mousePosition,1111.0,243.0
5155,mousePosition,1104.0,224.0
5856,mousePosition,1102.0,220.0
5901,mouseReleased,1102.0,220.0
6547,mousePosition,1136.0,205.0
7251,mousePosition,1132.0,204.0
7694,mouseReleased,1132.0,204.0
7951,mousePosition,1112.0,383.0
8645,mousePosition,1085.0,563.0
9339,mousePosition,1088.0,572.0
10030,mousePosition,1088.0,573.0
10120,mouseReleased,1088.0,573.0
10718,mousePosition,1111.0,643.0
11411,mousePosition,1110.0,644.0
11411,mouseReleased,1110.0,644.0
12104,mousePosition,1172.0,591.0
12194,,1172.0,591.0
12194,exit,1172.0,591.0
