millis,action,mouse.x,mouse.y
3004,mousePosition,955.0,968.4
4295,mousePosition,998.0,1017.0
5629,mousePosition,1004.0,1022.4
6925,mousePosition,1005.0,1030.5
6965,mouseReleased,1005.0,1030.5
8202,mousePosition,241.0,466.2
8743,mouseReleased,223.0,488.7
9490,mousePosition,822.0,655.2
10755,mousePosition,1038.0,676.8
12017,mousePosition,1041.0,675.0
13279,mousePosition,1067.0,661.5
14537,mousePosition,1067.0,661.5
15828,mousePosition,1067.0,661.5
17069,mousePosition,1067.0,661.5
18308,mousePosition,1067.0,661.5
19531,mousePosition,1059.0,656.1
20816,mousePosition,1440.0,611.1
22070,mousePosition,919.0,632.7
22349,mouseReleased,919.0,632.7
23334,mousePosition,662.0,729.9
24606,mousePosition,678.0,749.7
24686,mouseReleased,678.0,749.7
25624,mouseReleased,1012.0,1028.7
25869,mousePosition,1072.0,899.1
27078,mousePosition,1314.0,587.7
28386,mousePosition,1314.0,587.7
29640,mousePosition,1314.0,587.7
30903,mousePosition,1314.0,587.7
32177,mousePosition,1314.0,587.7
33391,mousePosition,1314.0,587.7
34697,mousePosition,1314.0,587.7
36027,mousePosition,1314.0,587.7
37233,mousePosition,1314.0,587.7
38524,mousePosition,1275.0,582.3
39538,,1206.0,582.3
39538,exit,1206.0,582.3
