millis,action,mouse.x,mouse.y
2287,mousePosition,1011.0,876.0
2707,mouseReleased,996.0,1011.0
2887,mousePosition,961.0,947.0
3560,mousePosition,312.0,423.0
4216,mousePosition,651.0,494.0
4810,mousePosition,260.0,325.0
5396,mousePosition,313.0,726.0
6004,mousePosition,388.0,404.0
6687,mousePosition,393.0,157.0
7376,mousePosition,252.0,64.0
8056,mousePosition,172.0,349.0
8728,mousePosition,254.0,716.0
9354,mousePosition,370.0,308.0
9804,mouseReleased,271.0,326.0
9946,mousePosition,291.0,379.0
10525,mousePosition,833.0,354.0
11155,mousePosition,905.0,245.0
11832,mousePosition,944.0,354.0
12502,mousePosition,1368.0,434.0
13163,mousePosition,1331.0,353.0
13515,,1190.0,372.0
13515,exit,1190.0,372.0
