millis,action,mouse.x,mouse.y
2952,mousePosition,1084.0,639.9
4274,mousePosition,981.0,950.4
5622,mousePosition,1095.0,787.5
6935,mousePosition,1088.0,792.0
8215,mousePosition,1061.0,819.9
9561,mousePosition,998.0,820.8
10845,mousePosition,1025.0,810.0
12194,mousePosition,1025.0,810.0
13475,mousePosition,1029.0,807.3
14788,mousePosition,686.0,800.1
16078,mousePosition,1267.0,797.4
17414,mousePosition,646.0,749.7
18723,mousePosition,670.0,671.4
19941,mousePosition,1403.0,693.9
21282,mousePosition,1401.0,854.1
22530,mousePosition,714.0,749.7
23899,mousePosition,722.0,724.5
25102,mousePosition,624.0,693.9
26429,mousePosition,1403.0,785.7
27656,mousePosition,1572.0,452.7
28996,mousePosition,1234.0,563.4
30326,mousePosition,1368.0,728.1
31540,mousePosition,1310.0,710.1
32950,mousePosition,1396.0,827.1
34161,mousePosition,1082.0,920.7
35517,mousePosition,1370.0,804.6
36726,mousePosition,890.0,793.8
38143,mousePosition,997.0,887.4
39355,mousePosition,1007.0,1044.0
40732,mousePosition,995.0,1035.9
40973,mouseReleased,1002.0,1034.1
41957,mousePosition,928.0,716.4
43173,mousePosition,650.0,517.5
44604,mousePosition,605.0,272.7
45814,mousePosition,917.0,445.5
47204,mousePosition,1734.0,476.1
48412,mousePosition,1027.0,420.3
49621,mousePosition,841.0,423.0
51115,mousePosition,962.0,576.0
52324,mousePosition,962.0,576.9
53531,mousePosition,962.0,578.7
54941,mousePosition,962.0,579.6
56159,mousePosition,957.0,580.5
56967,mouseReleased,190.0,487.8
57375,mousePosition,685.0,523.8
58173,mouseReleased,1173.0,954.9
58408,mouseReleased,1133.0,942.3
58761,mousePosition,1137.0,963.9
59212,mouseReleased,1122.0,960.3
59374,mouseReleased,1122.0,960.3
59541,mouseReleased,1122.0,960.3
59989,mousePosition,902.0,623.7
60191,mouseReleased,902.0,617.4
61172,mouseReleased,1023.0,1021.5
61212,mousePosition,1023.0,1021.5
62416,mousePosition,1040.0,537.3
62836,mouseReleased,1525.0,585.0
63081,mouseReleased,1448.0,586.8
63872,mousePosition,475.0,682.2
64325,mouseReleased,31.0,594.9
65111,mousePosition,1115.0,633.6
65936,mouseReleased,1765.0,1033.2
66350,mousePosition,1410.0,808.2
67471,mouseReleased,675.0,842.4
67715,mousePosition,685.0,832.5
68924,mousePosition,916.0,624.6
69125,mouseReleased,913.0,624.6
70106,mouseReleased,1029.0,1049.4
70147,mousePosition,1029.0,1049.4
71114,mouseReleased,711.0,572.4
71563,mousePosition,1025.0,844.2
71934,mouseReleased,997.0,1020.6
72795,mousePosition,1028.0,1003.5
72959,mouseReleased,987.0,1037.7
74026,mousePosition,1793.0,620.1
74316,mouseReleased,1878.0,583.2
75394,mousePosition,1114.0,504.9
76135,mouseReleased,1128.0,405.0
76631,mousePosition,1118.0,487.8
77868,mousePosition,1041.0,1038.6
79336,mousePosition,299.0,536.4
80516,mousePosition,200.0,486.0
81692,mousePosition,199.0,486.9
82925,mouseReleased,199.0,486.9
83003,mousePosition,199.0,486.9
84178,mousePosition,1131.0,383.4
84415,mouseReleased,1127.0,411.3
85359,mousePosition,1065.0,573.3
86640,mousePosition,1030.0,595.8
87820,mousePosition,1020.0,626.4
89096,mousePosition,1000.0,1040.4
89333,mouseReleased,1003.0,1038.6
90277,mousePosition,1002.0,1044.9
91551,mousePosition,1004.0,1051.2
92800,mousePosition,1005.0,1050.3
92958,mouseReleased,1005.0,1050.3
93977,mousePosition,976.0,1020.6
95232,mousePosition,536.0,664.2
96130,mouseReleased,204.0,494.1
96407,mousePosition,271.0,514.8
97669,mousePosition,1177.0,550.8
98941,mousePosition,1105.0,528.3
100121,mousePosition,1093.0,513.0
101386,mousePosition,1116.0,569.7
102629,mousePosition,1170.0,549.0
103812,mousePosition,1048.0,701.1
105064,mousePosition,1149.0,591.3
106239,mousePosition,1110.0,397.8
106317,mouseReleased,1110.0,397.8
107489,mousePosition,999.0,1043.1
108665,mousePosition,1006.0,912.6
109915,mousePosition,1609.0,954.9
111182,mousePosition,795.0,529.2
112354,mousePosition,1252.0,613.8
112393,mouseReleased,1252.0,613.8
112511,mouseReleased,1252.0,613.8
112628,mouseReleased,1240.0,645.3
112746,mouseReleased,1337.0,675.9
112902,mouseReleased,1263.0,666.9
113092,mouseReleased,1147.0,635.4
113171,mouseReleased,1243.0,674.1
113329,mouseReleased,1260.0,624.6
113447,mouseReleased,1186.0,619.2
113603,mousePosition,1298.0,656.1
113603,mouseReleased,1295.0,656.1
113721,mouseReleased,1247.0,645.3
114777,mousePosition,1210.0,652.5
116048,mousePosition,1242.0,610.2
117228,mousePosition,1224.0,514.8
118491,mousePosition,1235.0,695.7
119000,mouseReleased,1234.0,628.2
119118,mouseReleased,1224.0,621.0
119235,mouseReleased,1237.0,634.5
119394,mouseReleased,1203.0,628.2
119513,mouseReleased,1235.0,639.0
119630,mouseReleased,1206.0,636.3
119669,mousePosition,1206.0,636.3
119787,mouseReleased,1214.0,652.5
119905,mouseReleased,1244.0,649.8
120919,mousePosition,1005.0,809.1
122055,mouseReleased,511.0,1037.7
