millis,action,mouse.x,mouse.y
2332,mousePosition,1103.0,1069.0
2655,mouseReleased,1000.0,1027.0
2995,mousePosition,791.0,773.0
3417,mouseReleased,383.0,623.0
3592,mousePosition,383.0,623.0
4183,mousePosition,444.0,611.0
4802,mousePosition,847.0,398.0
5494,mousePosition,842.0,296.0
6185,mousePosition,845.0,270.0
6874,mousePosition,814.0,178.0
7561,mousePosition,816.0,182.0
8248,mousePosition,813.0,184.0
8735,mouseReleased,813.0,184.0
8943,mousePosition,813.0,184.0
9631,mousePosition,691.0,810.0
9678,mouseReleased,691.0,809.0
10315,mousePosition,1076.0,294.0
10996,mousePosition,1100.0,215.0
11679,mousePosition,1132.0,206.0
12198,mouseReleased,1132.0,205.0
12356,mousePosition,1132.0,205.0
12831,mouseReleased,1132.0,205.0
13034,mousePosition,1129.0,210.0
13282,mouseReleased,1129.0,211.0
13719,mousePosition,1129.0,224.0
14417,mousePosition,1000.0,1006.0
14553,mouseReleased,1000.0,1006.0
15099,mousePosition,1436.0,671.0
15507,mouseReleased,1007.0,1042.0
15784,mousePosition,1059.0,994.0
16281,mouseReleased,1821.0,573.0
16467,mousePosition,1828.0,573.0
17159,mousePosition,1355.0,479.0
17504,mouseReleased,1352.0,472.0
17866,mousePosition,1352.0,472.0
18450,mouseReleased,987.0,1048.0
18561,mousePosition,987.0,1048.0
19250,mousePosition,1119.0,612.0
19933,mousePosition,1028.0,562.0
20618,mousePosition,1028.0,562.0
21304,mousePosition,1028.0,562.0
21986,mousePosition,1028.0,562.0
22671,mousePosition,1028.0,562.0
23361,mousePosition,1028.0,562.0
24047,mousePosition,1028.0,562.0
24718,mousePosition,1028.0,562.0
25404,mousePosition,1028.0,562.0
26088,mousePosition,975.0,559.0
26785,mousePosition,967.0,496.0
27472,mousePosition,970.0,485.0
28157,mousePosition,1012.0,472.0
28845,mousePosition,1017.0,470.0
29533,mousePosition,1017.0,469.0
30214,mousePosition,798.0,182.0
30897,mousePosition,815.0,182.0
31586,mousePosition,815.0,182.0
31858,mouseReleased,815.0,182.0
32273,mousePosition,844.0,205.0
32953,mousePosition,257.0,679.0
33643,mousePosition,102.0,596.0
34335,mousePosition,587.0,807.0
35028,mousePosition,677.0,817.0
35096,mouseReleased,677.0,817.0
35715,mousePosition,799.0,449.0
36399,mousePosition,819.0,270.0
37092,mousePosition,868.0,213.0
37784,mousePosition,866.0,212.0
38469,mousePosition,866.0,211.0
38493,mouseReleased,866.0,211.0
39157,mousePosition,866.0,211.0
39841,mousePosition,866.0,211.0
40528,mousePosition,866.0,211.0
41217,mousePosition,860.0,211.0
41898,mousePosition,811.0,186.0
42587,mousePosition,814.0,183.0
43265,mousePosition,814.0,183.0
43697,mouseReleased,814.0,183.0
43954,mousePosition,814.0,183.0
44635,mousePosition,747.0,636.0
45318,mousePosition,677.0,796.0
45342,mouseReleased,677.0,796.0
45998,mousePosition,844.0,627.0
46682,mousePosition,883.0,630.0
47364,mousePosition,883.0,626.0
48048,mousePosition,848.0,725.0
48730,mousePosition,849.0,729.0
48956,mouseReleased,849.0,728.0
49419,mousePosition,803.0,771.0
50102,mousePosition,692.0,822.0
50102,mouseReleased,692.0,822.0
50783,mousePosition,877.0,688.0
51470,mousePosition,886.0,618.0
52150,mousePosition,887.0,626.0
52838,mousePosition,885.0,625.0
53296,mouseReleased,885.0,625.0
53522,mousePosition,885.0,625.0
54213,mousePosition,709.0,827.0
54901,mousePosition,709.0,827.0
55589,mousePosition,709.0,827.0
55637,mouseReleased,709.0,827.0
56280,mousePosition,798.0,775.0
56417,,830.0,758.0
56418,exit,830.0,758.0
