millis,action,mouse.x,mouse.y
2357,mousePosition,924.0,1052.0
2698,mouseReleased,1032.0,1026.0
2987,mousePosition,901.0,825.0
3453,mouseReleased,352.0,526.0
3671,mousePosition,352.0,526.0
4389,mousePosition,1263.0,303.0
5122,mousePosition,1373.0,198.0
5845,mousePosition,1377.0,204.0
6567,mousePosition,1377.0,223.0
7287,mousePosition,1377.0,223.0
8008,mousePosition,1377.0,227.0
8717,mousePosition,1377.0,227.0
9430,mousePosition,1377.0,227.0
10151,mousePosition,1354.0,266.0
10436,,1354.0,266.0
10436,exit,1354.0,266.0
