millis,action,mouse.x,mouse.y
2323,mousePosition,948.0,1007.0
2765,mouseReleased,1018.0,1008.0
3000,mousePosition,832.0,772.0
3681,mousePosition,319.0,482.0
4369,mousePosition,272.0,291.0
4961,mousePosition,485.0,246.0
5558,mousePosition,295.0,447.0
6147,mousePosition,295.0,447.0
6831,mousePosition,300.0,419.0
7525,mousePosition,337.0,697.0
8207,mousePosition,174.0,583.0
8570,mouseReleased,271.0,526.0
8894,mousePosition,271.0,526.0
9495,mousePosition,856.0,359.0
10080,mousePosition,802.0,347.0
10679,mousePosition,854.0,368.0
11346,mousePosition,854.0,368.0
12046,mousePosition,1126.0,317.0
12736,mousePosition,1416.0,317.0
13416,mousePosition,765.0,400.0
14096,mousePosition,848.0,316.0
14700,mousePosition,1324.0,357.0
15286,mousePosition,1274.0,743.0
15869,mousePosition,1379.0,496.0
16513,mousePosition,1459.0,551.0
17192,mousePosition,1394.0,419.0
17883,mousePosition,1199.0,455.0
18565,mousePosition,1379.0,443.0
19170,mousePosition,899.0,424.0
19745,mouseReleased,847.0,386.0
19768,mousePosition,847.0,386.0
20349,mousePosition,779.0,759.0
20490,,779.0,758.0
20490,exit,779.0,758.0
