millis,action,mouse.x,mouse.y
2202,mousePosition,1001.0,1034.0
2464,mouseReleased,1033.0,1063.0
2841,mousePosition,855.0,902.0
3510,mousePosition,311.0,509.0
3951,mouseReleased,311.0,509.0
4200,mousePosition,337.0,503.0
4871,mousePosition,846.0,427.0
5007,mouseReleased,846.0,427.0
5586,mousePosition,635.0,797.0
6031,mouseReleased,100.0,580.0
6255,mousePosition,306.0,642.0
6919,mousePosition,1735.0,1006.0
7037,mouseReleased,1734.0,1007.0
7631,mousePosition,716.0,841.0
7657,mouseReleased,716.0,841.0
8295,mousePosition,1118.0,495.0
8901,mouseReleased,1110.0,523.0
8969,mousePosition,1110.0,523.0
9673,mousePosition,1051.0,1026.0
9873,mouseReleased,1051.0,1026.0
10349,mousePosition,1029.0,993.0
10506,mouseReleased,1018.0,998.0
11012,mousePosition,1835.0,580.0
11258,mouseReleased,1847.0,581.0
11764,mousePosition,1351.0,597.0
11919,mouseReleased,1337.0,586.0
12443,mousePosition,942.0,955.0
12645,mouseReleased,957.0,992.0
13011,mouseReleased,992.0,996.0
13122,mousePosition,991.0,996.0
13827,mousePosition,1344.0,767.0
14494,mousePosition,1326.0,726.0
15162,mousePosition,908.0,564.0
15358,,939.0,566.0
15358,exit,939.0,566.0
