millis,action,mouse.x,mouse.y
2376,mousePosition,950.0,929.0
2860,mouseReleased,1000.0,1024.0
3074,mousePosition,994.0,1010.0
3762,mousePosition,258.0,453.0
3901,mouseReleased,259.0,453.0
4466,mousePosition,1132.0,348.0
5169,mousePosition,1272.0,138.0
5872,mousePosition,1263.0,128.0
6032,mouseReleased,1263.0,128.0
6567,mousePosition,1495.0,19.0
7274,mousePosition,1488.0,1.0
7969,mousePosition,1487.0,0.0
8668,mousePosition,1487.0,0.0
9371,mousePosition,1601.0,0.0
10066,mousePosition,1611.0,0.0
10754,mousePosition,1615.0,0.0
11444,mousePosition,1615.0,0.0
12134,mousePosition,1615.0,0.0
12825,mousePosition,1615.0,0.0
13518,mousePosition,1616.0,0.0
14201,mousePosition,1617.0,0.0
14892,mousePosition,1617.0,0.0
15216,mouseReleased,1617.0,0.0
15590,mousePosition,1617.0,0.0
16270,mousePosition,1476.0,870.0
16958,mousePosition,1220.0,935.0
17657,mousePosition,1201.0,921.0
18348,mousePosition,1356.0,1079.0
19048,mousePosition,1357.0,1079.0
19745,mousePosition,1389.0,1079.0
20439,mousePosition,1392.0,1079.0
21135,mousePosition,1393.0,1078.0
21669,mouseReleased,1393.0,1078.0
21835,mousePosition,1393.0,1078.0
22518,mousePosition,1190.0,904.0
23209,mousePosition,1192.0,910.0
23674,mouseReleased,1192.0,910.0
23906,mousePosition,1192.0,910.0
24551,,1268.0,832.0
24551,exit,1268.0,832.0
