millis,action,mouse.x,mouse.y
2348,mouseReleased,1004.0,1030.5
2893,mousePosition,459.0,684.9
3360,mouseReleased,169.0,486.0
4187,mousePosition,1020.0,594.0
5233,mouseReleased,1457.0,596.7
5497,mousePosition,1457.0,596.7
6784,mousePosition,44.0,595.8
6784,mouseReleased,46.0,594.0
8079,mousePosition,1370.0,639.0
8159,mouseReleased,1370.0,643.5
9077,mouseReleased,1873.0,710.1
9365,mousePosition,1288.0,625.5
9886,mouseReleased,1116.0,605.7
10487,mouseReleased,1125.0,614.7
10689,mousePosition,1134.0,614.7
11940,mousePosition,987.0,609.3
13248,mousePosition,1016.0,609.3
13571,mouseReleased,1016.0,609.3
14500,mousePosition,1676.0,637.2
14860,mouseReleased,1627.0,603.9
15805,mousePosition,932.0,397.8
17073,mousePosition,488.0,676.8
17073,mouseReleased,488.0,676.8
17195,mouseReleased,493.0,666.0
17974,mouseReleased,493.0,659.7
18136,mouseReleased,493.0,659.7
18257,mouseReleased,493.0,659.7
18338,mousePosition,493.0,659.7
18419,mouseReleased,493.0,659.7
18580,mouseReleased,493.0,659.7
19588,mousePosition,618.0,532.8
20897,mousePosition,618.0,532.8
22164,mousePosition,618.0,532.8
23439,mousePosition,618.0,532.8
24754,mousePosition,618.0,532.8
25978,mousePosition,881.0,621.0
26447,mouseReleased,884.0,615.6
26851,mouseReleased,1012.0,647.1
27253,mousePosition,1770.0,1003.5
27496,mouseReleased,1772.0,1053.9
28533,mousePosition,785.0,739.8
29181,mouseReleased,1886.0,596.7
29749,mousePosition,1339.0,556.2
30026,mouseReleased,1335.0,584.1
30877,mouseReleased,1002.0,1074.6
31039,mousePosition,1009.0,1069.2
32140,mouseReleased,15.0,583.2
32300,mousePosition,16.0,584.1
33513,mousePosition,672.0,828.9
33674,mouseReleased,672.0,828.9
34851,mousePosition,1149.0,1009.8
34852,mouseReleased,1150.0,1006.2
35865,mouseReleased,1464.0,633.6
36146,mousePosition,1472.0,630.9
36989,mouseReleased,682.0,832.5
37352,mousePosition,613.0,608.4
37956,mouseReleased,640.0,606.6
38658,mousePosition,989.0,974.7
39062,mouseReleased,1020.0,1056.6
39748,mouseReleased,1014.0,1054.8
39870,mousePosition,1014.0,1054.8
40762,mouseReleased,1840.0,607.5
41163,mousePosition,1669.0,647.1
42229,mouseReleased,1124.0,440.1
42431,mousePosition,1126.0,440.1
43499,mouseReleased,205.0,491.4
43819,mousePosition,223.0,494.1
45031,mousePosition,1129.0,934.2
45191,mouseReleased,1129.0,934.2
46346,mousePosition,1498.0,561.6
46915,mouseReleased,1444.0,622.8
47561,mousePosition,760.0,826.2
47962,mouseReleased,707.0,821.7
48854,mousePosition,1133.0,418.5
49136,mouseReleased,1125.0,423.0
50066,mousePosition,931.0,1001.7
50432,mouseReleased,1044.0,1031.4
51236,mouseReleased,988.0,1049.4
51356,mousePosition,913.0,952.2
51924,mouseReleased,164.0,485.1
52642,mousePosition,1304.0,648.0
53083,mouseReleased,1502.0,586.8
53851,mousePosition,889.0,658.8
54371,mouseReleased,29.0,576.0
55060,mouseReleased,1869.0,636.3
55140,mousePosition,1830.0,707.4
55461,mouseReleased,1785.0,1079.1
56356,mousePosition,1001.0,779.4
56757,mouseReleased,732.0,835.2
57659,mousePosition,905.0,621.9
58867,mousePosition,915.0,632.7
60130,mouseReleased,915.0,632.7
60217,mousePosition,915.0,632.7
61112,mouseReleased,1040.0,1069.2
61436,mousePosition,1040.0,1069.2
62713,mousePosition,1183.0,946.8
63074,mouseReleased,1119.0,936.0
64020,mousePosition,1162.0,428.4
64421,mouseReleased,1104.0,429.3
65225,mousePosition,332.0,513.9
66520,mousePosition,224.0,496.8
66842,mouseReleased,224.0,496.8
67746,mousePosition,224.0,496.8
69029,mousePosition,227.0,517.5
70237,mousePosition,236.0,531.0
71418,mouseReleased,914.0,635.4
71540,mousePosition,914.0,635.4
72273,mouseReleased,710.0,915.3
72762,mousePosition,1070.0,999.9
73129,mouseReleased,1013.0,1030.5
74030,mouseReleased,1877.0,729.9
74070,mousePosition,1877.0,729.9
74885,mouseReleased,1180.0,885.6
75290,mousePosition,1168.0,913.5
75898,mouseReleased,1841.0,738.0
76665,mousePosition,1165.0,947.7
77025,mouseReleased,1137.0,946.8
77821,mouseReleased,1130.0,938.7
77864,mousePosition,1130.0,938.7
79218,mousePosition,702.0,292.5
80475,mousePosition,88.0,628.2
81863,mousePosition,334.0,1079.1
83114,mousePosition,1246.0,787.5
84442,mousePosition,1352.0,0.0
85688,mousePosition,5.0,292.5
87010,mousePosition,460.0,960.3
88259,mousePosition,1483.0,495.0
89611,mousePosition,283.0,321.3
90876,mousePosition,29.0,1079.1
92200,mousePosition,597.0,1053.9
93431,mousePosition,1370.0,963.0
94782,mousePosition,1443.0,603.9
96033,mousePosition,1235.0,0.0
97396,mousePosition,910.0,0.0
98644,mousePosition,0.0,81.9
99957,mousePosition,22.0,822.6
101193,mousePosition,16.0,1079.1
102512,mousePosition,953.0,1079.1
103749,mousePosition,1919.0,762.3
105096,mousePosition,1279.0,470.7
106343,mousePosition,1470.0,0.0
107652,mousePosition,1827.0,483.3
108896,mousePosition,1881.0,171.0
110134,mousePosition,401.0,396.0
111465,mousePosition,16.0,819.0
112707,mousePosition,1469.0,614.7
114117,mousePosition,1714.0,502.2
115357,mousePosition,1568.0,478.8
116263,,1568.0,478.8
116263,exit,1568.0,478.8
