millis,action,mouse.x,mouse.y
2337,mousePosition,847.0,852.0
2943,mousePosition,1005.0,1027.0
3024,mouseReleased,1005.0,1027.0
3611,mousePosition,403.0,529.0
3936,mouseReleased,346.0,516.0
4302,mousePosition,1088.0,482.0
4990,mousePosition,1288.0,134.0
5683,mousePosition,1265.0,131.0
6375,mousePosition,1265.0,130.0
7066,mousePosition,1267.0,126.0
7763,mousePosition,1267.0,126.0
7786,mouseReleased,1267.0,126.0
8444,mousePosition,1492.0,2.0
9132,mousePosition,1483.0,0.0
9820,mousePosition,1483.0,0.0
9820,mouseReleased,1483.0,0.0
10500,mousePosition,1399.0,1074.0
11188,mousePosition,1396.0,1074.0
11874,mousePosition,1393.0,1075.0
12266,mouseReleased,1393.0,1075.0
12566,mousePosition,1385.0,1064.0
13250,mousePosition,1193.0,913.0
13940,mousePosition,1193.0,914.0
14539,mouseReleased,1193.0,913.0
14630,mousePosition,1193.0,913.0
15312,mousePosition,1304.0,825.0
15583,,1304.0,825.0
15583,exit,1304.0,825.0
