millis,action,mouse.x,mouse.y
2813,mousePosition,832.0,811.0
3511,mousePosition,1013.0,1027.0
3581,mouseReleased,1013.0,1027.0
4201,mousePosition,308.0,545.0
4594,mouseReleased,294.0,479.0
4891,mousePosition,294.0,479.0
5581,mousePosition,1128.0,926.0
6263,mousePosition,1129.0,927.0
6949,mousePosition,1129.0,927.0
7636,mousePosition,1129.0,927.0
8116,mouseReleased,1129.0,927.0
8323,mousePosition,1129.0,927.0
9022,mousePosition,1135.0,954.0
9719,mousePosition,1130.0,955.0
9742,mouseReleased,1130.0,955.0
10405,mousePosition,1109.0,397.0
10615,mouseReleased,1124.0,405.0
11092,mousePosition,1115.0,412.0
11757,mousePosition,860.0,589.0
12434,mousePosition,880.0,578.0
13120,mousePosition,880.0,578.0
13808,mousePosition,880.0,578.0
14487,mousePosition,880.0,578.0
15164,mousePosition,880.0,578.0
15231,,880.0,578.0
15232,exit,880.0,578.0
