millis,action,mouse.x,mouse.y
2268,mousePosition,935.0,872.0
2730,mouseReleased,989.0,1032.0
2915,mousePosition,911.0,872.0
3392,mouseReleased,302.0,402.0
3607,mousePosition,350.0,401.0
4287,mousePosition,1117.0,225.0
4978,mousePosition,1105.0,219.0
5676,mousePosition,1103.0,222.0
5745,mouseReleased,1103.0,222.0
6288,mousePosition,1796.0,591.0
6594,mouseReleased,1827.0,575.0
6887,mousePosition,1688.0,459.0
7477,mousePosition,1140.0,205.0
8142,mousePosition,1135.0,206.0
8781,mouseReleased,1133.0,206.0
8825,mousePosition,1133.0,206.0
9508,mousePosition,1135.0,209.0
10188,mousePosition,1132.0,208.0
10189,mouseReleased,1132.0,208.0
10623,mouseReleased,1132.0,208.0
10874,mousePosition,1130.0,208.0
10988,mouseReleased,1130.0,208.0
11546,mousePosition,1313.0,329.0
12024,mouseReleased,1823.0,562.0
12225,mousePosition,1718.0,471.0
12913,mousePosition,1138.0,202.0
13592,mousePosition,1131.0,205.0
14269,mousePosition,1135.0,205.0
14944,mousePosition,1132.0,205.0
15632,mousePosition,1132.0,205.0
16310,mousePosition,1108.0,649.0
16996,mousePosition,1111.0,644.0
17202,mouseReleased,1111.0,644.0
17677,mousePosition,1174.0,638.0
18107,mouseReleased,1834.0,586.0
18356,mousePosition,1405.0,679.0
19040,mousePosition,1094.0,583.0
19731,mousePosition,1091.0,572.0
20308,mouseReleased,1089.0,571.0
20419,mousePosition,1089.0,571.0
21101,mousePosition,1839.0,594.0
21147,mouseReleased,1839.0,594.0
21784,mousePosition,1171.0,165.0
22468,mousePosition,1135.0,203.0
23151,mousePosition,1134.0,204.0
23839,mousePosition,1132.0,205.0
24524,mousePosition,1134.0,205.0
25209,mousePosition,1133.0,205.0
25896,mousePosition,1133.0,205.0
25941,mouseReleased,1133.0,205.0
26588,mousePosition,1221.0,210.0
26971,,1221.0,210.0
26971,exit,1221.0,210.0
