millis,action,mouse.x,mouse.y
2268,mousePosition,741.0,350.0
2765,￿,778.0,453.0
2863,mousePosition,778.0,453.0
3563,mousePosition,778.0,453.0
4294,mousePosition,778.0,453.0
5032,mousePosition,778.0,453.0
5774,mousePosition,778.0,453.0
6518,mousePosition,778.0,453.0
7156,mousePosition,778.0,453.0
7764,mousePosition,778.0,453.0
8350,mousePosition,778.0,453.0
9017,mousePosition,778.0,453.0
9662,mousePosition,778.0,453.0
10301,mousePosition,1040.0,904.0
10886,mousePosition,960.0,814.0
11318,mouseReleased,994.0,1007.0
11519,mousePosition,994.0,1002.0
12120,mouseReleased,380.0,475.0
12187,mousePosition,380.0,475.0
12859,mousePosition,820.0,203.0
13546,mousePosition,817.0,185.0
14234,mousePosition,815.0,182.0
14920,mousePosition,814.0,182.0
15149,mouseReleased,814.0,182.0
15611,mousePosition,871.0,211.0
16295,mousePosition,865.0,208.0
16319,mouseReleased,865.0,208.0
16981,mousePosition,891.0,625.0
17666,mousePosition,886.0,626.0
18355,mousePosition,886.0,627.0
18962,mouseReleased,886.0,627.0
19056,mousePosition,885.0,628.0
19746,mousePosition,854.0,726.0
20430,mousePosition,848.0,726.0
21117,mousePosition,848.0,728.0
21252,mouseReleased,848.0,728.0
21805,mousePosition,942.0,757.0
22487,mousePosition,947.0,720.0
23173,mousePosition,947.0,719.0
23571,,947.0,719.0
23571,exit,947.0,719.0
