millis,action,mouse.x,mouse.y
1984,￿,411.0,441.0
2221,mousePosition,411.0,441.0
2819,mousePosition,411.0,441.0
3479,mousePosition,411.0,441.0
4150,mousePosition,411.0,441.0
4819,mousePosition,411.0,441.0
5537,mousePosition,411.0,441.0
6201,mousePosition,411.0,441.0
6877,mousePosition,411.0,441.0
7542,mousePosition,411.0,441.0
8135,mousePosition,411.0,441.0
8710,mousePosition,411.0,441.0
9301,mousePosition,411.0,441.0
9960,mousePosition,411.0,441.0
10619,mousePosition,411.0,441.0
11284,mousePosition,411.0,441.0
11938,mousePosition,411.0,441.0
12601,mousePosition,411.0,441.0
13252,mousePosition,411.0,441.0
13835,mousePosition,411.0,441.0
14416,mousePosition,411.0,441.0
15007,mousePosition,411.0,441.0
15605,mousePosition,411.0,441.0
16194,mousePosition,411.0,441.0
16784,mousePosition,411.0,441.0
17429,mousePosition,411.0,441.0
18001,mousePosition,411.0,441.0
18556,mousePosition,411.0,441.0
19128,mousePosition,411.0,441.0
19766,mousePosition,411.0,441.0
20422,mousePosition,411.0,441.0
21096,mousePosition,411.0,441.0
21768,mousePosition,411.0,441.0
22481,mousePosition,411.0,441.0
23131,mousePosition,411.0,441.0
23796,mousePosition,1630.0,197.0
24508,mousePosition,1346.0,572.0
24934,,1346.0,572.0
24934,exit,1346.0,572.0
