millis,action,mouse.x,mouse.y
2264,mousePosition,867.0,687.0
2745,mouseReleased,997.0,1037.0
2866,mousePosition,960.0,986.0
3489,￿,274.0,420.0
3512,mousePosition,274.0,420.0
4178,mousePosition,274.0,420.0
4760,mousePosition,274.0,420.0
5359,mousePosition,274.0,420.0
5968,mousePosition,255.0,376.0
6224,mouseReleased,254.0,377.0
6545,￿,254.0,377.0
6667,mousePosition,254.0,377.0
7363,mousePosition,254.0,377.0
8055,mousePosition,1251.0,400.0
8677,mousePosition,1323.0,365.0
8982,￿,1321.0,375.0
9281,mousePosition,1229.0,445.0
9875,mousePosition,1229.0,445.0
10552,mousePosition,1114.0,900.0
10895,mouseReleased,1153.0,943.0
11103,,1153.0,943.0
11103,exit,1153.0,943.0
