millis,action,mouse.x,mouse.y
2218,mousePosition,1017.0,1014.0
2448,mouseReleased,1016.0,1025.0
2792,mousePosition,434.0,562.0
3069,mouseReleased,260.0,425.0
3387,mousePosition,814.0,472.0
3779,mouseReleased,1374.0,452.0
4053,mousePosition,1323.0,472.0
4528,mouseReleased,1018.0,1044.0
4726,mousePosition,1014.0,1031.0
5296,mouseReleased,1107.0,926.0
5408,mousePosition,1107.0,926.0
6125,mousePosition,1138.0,409.0
6556,mouseReleased,1120.0,394.0
6800,mousePosition,1117.0,397.0
7468,mousePosition,1914.0,548.0
7798,mouseReleased,1886.0,603.0
8173,mousePosition,1886.0,603.0
8831,mousePosition,1227.0,630.0
9206,,1227.0,630.0
9206,exit,1227.0,630.0
