millis,action,mouse.x,mouse.y
2229,mousePosition,947.0,949.0
2637,mouseReleased,991.0,1039.0
2810,mousePosition,975.0,998.0
3462,mousePosition,301.0,434.0
4132,mousePosition,196.0,0.0
4797,mousePosition,122.0,211.0
4906,mouseReleased,122.0,211.0
5477,mousePosition,1414.0,412.0
6179,mousePosition,1340.0,323.0
6843,mousePosition,1201.0,576.0
7531,mousePosition,1259.0,733.0
8216,mousePosition,1425.0,589.0
8881,mousePosition,1423.0,656.0
9567,mousePosition,1447.0,695.0
10258,mousePosition,1464.0,727.0
10926,mousePosition,1457.0,729.0
11619,mousePosition,1457.0,728.0
12297,mousePosition,1230.0,734.0
12961,mousePosition,1230.0,734.0
13665,mousePosition,1230.0,734.0
14339,mousePosition,1230.0,734.0
15005,mousePosition,1230.0,734.0
15719,mousePosition,1230.0,734.0
16424,mousePosition,1230.0,734.0
17100,mousePosition,1230.0,734.0
17779,mousePosition,1230.0,734.0
18479,mousePosition,1230.0,734.0
19151,mousePosition,1230.0,734.0
19849,mousePosition,1230.0,734.0
20540,mousePosition,1230.0,734.0
21216,mousePosition,1230.0,734.0
21921,mousePosition,1230.0,734.0
22597,mousePosition,1230.0,734.0
23270,mousePosition,1230.0,734.0
23982,mousePosition,1230.0,734.0
24658,mousePosition,1230.0,734.0
25327,mousePosition,1230.0,737.0
25971,mouseReleased,1335.0,683.0
26042,mousePosition,1335.0,683.0
26730,mousePosition,1033.0,990.0
26937,mouseReleased,995.0,1030.0
27163,,1081.0,1057.0
27163,exit,1081.0,1057.0
