millis,action,mouse.x,mouse.y
2295,mousePosition,978.0,1007.0
2510,mouseReleased,966.0,1048.0
2921,mousePosition,471.0,596.0
3244,mouseReleased,235.0,514.0
3615,mousePosition,604.0,538.0
4311,mousePosition,861.0,453.0
4471,mouseReleased,861.0,452.0
4996,mousePosition,1186.0,678.0
5660,mouseReleased,99.0,573.0
5684,mousePosition,99.0,573.0
6381,mousePosition,1377.0,664.0
6537,mouseReleased,1366.0,642.0
7071,mousePosition,1874.0,700.0
7190,mouseReleased,1862.0,700.0
7709,mouseReleased,1097.0,615.0
7777,mousePosition,1097.0,615.0
8234,mouseReleased,1097.0,615.0
8463,mousePosition,1097.0,615.0
8974,mouseReleased,1119.0,613.0
9200,mousePosition,1119.0,613.0
9868,mousePosition,1578.0,645.0
10114,mouseReleased,1622.0,635.0
10565,mousePosition,1622.0,635.0
11279,mousePosition,1103.0,533.0
11644,mouseReleased,377.0,708.0
11970,mousePosition,397.0,695.0
12204,mouseReleased,408.0,690.0
12626,mouseReleased,391.0,643.0
12671,mousePosition,384.0,647.0
12853,mouseReleased,350.0,694.0
13082,mouseReleased,473.0,698.0
13270,mouseReleased,482.0,685.0
13361,mousePosition,406.0,650.0
13476,mouseReleased,403.0,650.0
14054,mousePosition,351.0,690.0
14193,mouseReleased,351.0,690.0
14731,mousePosition,491.0,692.0
15021,mouseReleased,403.0,681.0
15399,mousePosition,324.0,686.0
15442,mouseReleased,324.0,686.0
15667,mouseReleased,404.0,724.0
15846,mouseReleased,438.0,698.0
16024,mouseReleased,554.0,697.0
16068,mousePosition,525.0,694.0
16227,mouseReleased,376.0,690.0
16389,mouseReleased,366.0,689.0
16572,mouseReleased,331.0,678.0
16752,mousePosition,331.0,678.0
16752,mouseReleased,331.0,678.0
17416,mousePosition,1618.0,625.0
17644,mouseReleased,1694.0,650.0
18100,mousePosition,1180.0,641.0
18801,mousePosition,674.0,507.0
19117,mouseReleased,428.0,686.0
19478,mousePosition,430.0,681.0
20155,mousePosition,464.0,692.0
20423,mouseReleased,387.0,689.0
20675,mouseReleased,413.0,692.0
20831,mousePosition,355.0,697.0
20854,mouseReleased,344.0,696.0
21054,mouseReleased,313.0,669.0
21505,mousePosition,354.0,766.0
21551,mouseReleased,354.0,762.0
21730,mouseReleased,388.0,719.0
21886,mouseReleased,402.0,711.0
22041,mouseReleased,404.0,708.0
22176,mousePosition,618.0,717.0
22605,mouseReleased,1657.0,638.0
22858,mousePosition,1189.0,607.0
23555,mousePosition,559.0,702.0
23791,mouseReleased,517.0,718.0
24237,mousePosition,428.0,696.0
24440,mouseReleased,460.0,705.0
24622,mouseReleased,465.0,708.0
24913,mousePosition,1898.0,652.0
25201,mouseReleased,1689.0,644.0
25594,mousePosition,1131.0,841.0
26286,mousePosition,486.0,736.0
26493,mouseReleased,489.0,719.0
26651,mouseReleased,483.0,709.0
26833,mouseReleased,462.0,701.0
26968,mousePosition,437.0,699.0
26992,mouseReleased,437.0,699.0
27192,mouseReleased,310.0,690.0
27390,mouseReleased,343.0,655.0
27592,mouseReleased,671.0,765.0
27637,mousePosition,1104.0,736.0
27998,mouseReleased,1708.0,653.0
28326,mousePosition,1091.0,622.0
29021,mousePosition,651.0,745.0
29254,mouseReleased,447.0,714.0
29714,mousePosition,435.0,682.0
30398,mousePosition,513.0,650.0
31076,mousePosition,1135.0,669.0
31760,mousePosition,1203.0,654.0
32444,mousePosition,1742.0,1040.0
33125,mousePosition,1742.0,1028.0
33814,mousePosition,1742.0,1025.0
34499,mousePosition,1742.0,1025.0
35181,mousePosition,1742.0,1025.0
35861,mousePosition,1742.0,1025.0
36544,mousePosition,1742.0,1025.0
37226,mousePosition,1742.0,1025.0
37840,mouseReleased,1742.0,1025.0
37911,mousePosition,1742.0,1025.0
38599,mousePosition,1742.0,1025.0
39279,mousePosition,775.0,862.0
39671,mouseReleased,698.0,801.0
39965,mousePosition,698.0,801.0
40653,mousePosition,698.0,800.0
41336,mousePosition,698.0,800.0
42016,mousePosition,698.0,800.0
42702,mousePosition,698.0,800.0
43385,mousePosition,706.0,794.0
44067,mousePosition,1250.0,619.0
44756,mousePosition,1042.0,604.0
45439,mousePosition,1042.0,604.0
46120,mousePosition,1042.0,604.0
46806,mousePosition,1042.0,604.0
47494,mousePosition,1041.0,604.0
48179,mousePosition,1041.0,604.0
48856,mousePosition,1041.0,604.0
49545,mousePosition,1041.0,604.0
50223,mousePosition,1041.0,604.0
50709,,1041.0,604.0
50709,exit,1041.0,604.0
