millis,action,mouse.x,mouse.y
2270,mousePosition,965.0,1079.0
2507,mouseReleased,999.0,1031.0
2887,mousePosition,620.0,530.0
3119,mouseReleased,452.0,499.0
3578,mousePosition,479.0,510.0
4268,mousePosition,807.0,432.0
4965,mousePosition,858.0,324.0
5656,mousePosition,815.0,183.0
6187,mouseReleased,815.0,183.0
6349,mousePosition,815.0,183.0
7028,mousePosition,815.0,184.0
7309,mouseReleased,815.0,184.0
7719,mousePosition,815.0,184.0
8404,mousePosition,815.0,184.0
9084,mousePosition,816.0,187.0
9767,mousePosition,815.0,183.0
10018,mouseReleased,815.0,183.0
10450,mousePosition,815.0,184.0
10700,mouseReleased,815.0,184.0
11127,mousePosition,815.0,184.0
11400,mouseReleased,815.0,184.0
11808,mousePosition,815.0,184.0
11808,mouseReleased,815.0,184.0
12331,mouseReleased,821.0,189.0
12496,mousePosition,823.0,204.0
12653,mouseReleased,823.0,208.0
12946,mouseReleased,817.0,285.0
13169,mousePosition,832.0,373.0
13169,mouseReleased,833.0,373.0
13395,mouseReleased,854.0,432.0
13558,mouseReleased,857.0,463.0
13740,mouseReleased,859.0,511.0
13857,mousePosition,859.0,527.0
13904,mouseReleased,859.0,533.0
14404,mouseReleased,852.0,708.0
14542,mousePosition,851.0,730.0
14925,mouseReleased,850.0,722.0
15216,mousePosition,884.0,643.0
15581,mouseReleased,884.0,613.0
15896,mousePosition,884.0,620.0
15919,mouseReleased,884.0,620.0
16577,mousePosition,869.0,217.0
17258,mousePosition,1152.0,891.0
17925,,988.0,804.0
17925,exit,988.0,804.0
