millis,action,mouse.x,mouse.y
2282,mousePosition,378.0,496.0
2339,￿,458.0,518.0
2888,mousePosition,511.0,538.0
3547,mousePosition,511.0,538.0
4220,mousePosition,511.0,538.0
4899,mousePosition,511.0,538.0
5581,mousePosition,511.0,538.0
6293,mousePosition,511.0,538.0
6967,mousePosition,511.0,538.0
7636,mousePosition,511.0,538.0
8339,mousePosition,511.0,538.0
9016,mousePosition,511.0,538.0
9704,mousePosition,511.0,538.0
10398,mousePosition,511.0,538.0
11071,mousePosition,511.0,538.0
11770,mousePosition,511.0,538.0
12491,mousePosition,511.0,538.0
13165,mousePosition,511.0,538.0
13831,mousePosition,511.0,538.0
14542,mousePosition,511.0,538.0
15212,mousePosition,511.0,538.0
15884,mousePosition,511.0,538.0
16635,mousePosition,511.0,538.0
17310,mousePosition,511.0,538.0
17980,mousePosition,511.0,538.0
18699,mousePosition,511.0,538.0
19374,mousePosition,511.0,538.0
20045,mousePosition,511.0,538.0
20810,mousePosition,511.0,538.0
21486,mousePosition,511.0,538.0
22167,mousePosition,511.0,538.0
22885,mousePosition,511.0,538.0
23561,mousePosition,511.0,538.0
24241,mousePosition,511.0,538.0
25007,mousePosition,511.0,538.0
25675,mousePosition,511.0,538.0
26345,mousePosition,511.0,538.0
27064,mousePosition,511.0,538.0
27744,mousePosition,511.0,538.0
28421,mousePosition,511.0,538.0
29187,mousePosition,511.0,538.0
29870,mousePosition,511.0,538.0
30541,mousePosition,511.0,538.0
31258,mousePosition,511.0,538.0
31928,mousePosition,511.0,538.0
32601,mousePosition,511.0,538.0
33364,mousePosition,511.0,538.0
34027,mousePosition,511.0,538.0
34695,mousePosition,511.0,538.0
35409,mousePosition,511.0,538.0
36070,mousePosition,511.0,538.0
36745,mousePosition,511.0,538.0
37464,mousePosition,511.0,538.0
38140,mousePosition,511.0,538.0
38808,mousePosition,511.0,538.0
39558,mousePosition,511.0,538.0
40222,mousePosition,511.0,538.0
40896,mousePosition,511.0,538.0
41609,mousePosition,511.0,538.0
42281,mousePosition,511.0,538.0
42959,mousePosition,511.0,538.0
43675,mousePosition,511.0,538.0
44352,mousePosition,511.0,538.0
45030,mousePosition,511.0,538.0
45793,mousePosition,511.0,538.0
46466,mousePosition,511.0,538.0
47134,mousePosition,511.0,538.0
47892,mousePosition,511.0,538.0
48547,mousePosition,511.0,538.0
49211,mousePosition,511.0,538.0
49849,mousePosition,511.0,538.0
50429,mousePosition,511.0,538.0
51038,mousePosition,511.0,538.0
51630,mousePosition,511.0,538.0
52258,mousePosition,511.0,538.0
52824,mousePosition,511.0,538.0
53386,mousePosition,511.0,538.0
53951,mousePosition,511.0,538.0
54564,mousePosition,511.0,538.0
55125,mousePosition,511.0,538.0
55683,mousePosition,511.0,538.0
56302,mousePosition,511.0,538.0
56966,mousePosition,511.0,538.0
57632,mousePosition,511.0,538.0
58303,mousePosition,511.0,538.0
59004,mousePosition,511.0,538.0
59657,mousePosition,511.0,538.0
60329,mousePosition,511.0,538.0
61040,mousePosition,511.0,538.0
61711,mousePosition,511.0,538.0
62394,mousePosition,511.0,538.0
63090,mousePosition,511.0,538.0
63750,mousePosition,757.0,1067.0
64438,mousePosition,983.0,645.0
64666,,981.0,619.0
64666,exit,981.0,619.0
