millis,action,mouse.x,mouse.y
2458,￿,1002.0,554.4
2958,mousePosition,997.0,563.4
4241,mousePosition,997.0,563.4
5519,mousePosition,997.0,563.4
6817,mousePosition,997.0,563.4
8105,mousePosition,997.0,563.4
9392,mousePosition,997.0,563.4
10685,mousePosition,746.0,717.3
11963,mousePosition,1029.0,963.0
12521,mouseReleased,980.0,1048.5
13210,mousePosition,989.0,1044.9
14522,mousePosition,197.0,503.1
14804,mouseReleased,199.0,499.5
15808,mousePosition,635.0,585.9
16255,mouseReleased,709.0,581.4
17113,mousePosition,993.0,652.5
18407,mousePosition,1881.0,585.9
19177,mouseReleased,983.0,1057.5
19662,mousePosition,1024.0,831.6
20921,mousePosition,1012.0,1017.0
21324,mouseReleased,1012.0,1017.0
22216,mousePosition,1036.0,691.2
23477,mousePosition,1332.0,482.4
24734,mousePosition,1300.0,586.8
25944,mousePosition,1870.0,616.5
27259,mousePosition,1873.0,581.4
27380,mouseReleased,1873.0,581.4
28528,mousePosition,924.0,651.6
28849,mouseReleased,933.0,633.6
29819,mousePosition,1004.0,1033.2
30467,mouseReleased,789.0,918.9
30795,mouseReleased,744.0,927.9
31039,mousePosition,1174.0,785.7
31594,mouseReleased,1011.0,1038.6
32327,mousePosition,1108.0,392.4
32568,mouseReleased,1097.0,429.3
33608,mousePosition,300.0,585.9
33933,mouseReleased,244.0,477.0
34827,mousePosition,1160.0,572.4
35586,mouseReleased,1480.0,594.9
36156,mousePosition,1480.0,594.9
37374,mousePosition,1821.0,595.8
37743,mouseReleased,1886.0,579.6
38683,mousePosition,1356.0,599.4
38927,mouseReleased,1319.0,612.0
40026,mousePosition,1030.0,974.7
40190,mouseReleased,1026.0,1052.1
41127,mouseReleased,26.0,578.7
41247,mousePosition,26.0,578.7
42062,mouseReleased,28.0,578.7
42656,mousePosition,28.0,578.7
43431,mouseReleased,928.0,592.2
43886,mousePosition,1161.0,625.5
43931,mouseReleased,1161.0,625.5
45232,mousePosition,1318.0,633.6
46012,mouseReleased,1354.0,635.4
46342,mouseReleased,1377.0,657.9
46465,mousePosition,1170.0,616.5
46836,mouseReleased,1122.0,620.1
47862,mousePosition,1112.0,618.3
49101,mousePosition,1497.0,730.8
49184,mouseReleased,1592.0,756.0
49634,mouseReleased,1849.0,824.4
50430,mousePosition,1051.0,559.8
50759,mouseReleased,1145.0,598.5
51580,mouseReleased,1117.0,636.3
51702,mousePosition,1129.0,637.2
52896,mouseReleased,1675.0,631.8
53018,mousePosition,1673.0,633.6
54167,mouseReleased,934.0,653.4
54249,mousePosition,939.0,671.4
54743,mouseReleased,496.0,597.6
55037,mouseReleased,351.0,712.8
55560,mousePosition,1636.0,630.0
55681,mouseReleased,1632.0,630.0
56177,mouseReleased,1097.0,795.6
56662,mouseReleased,1053.0,634.5
56786,mousePosition,795.0,593.1
56952,mouseReleased,414.0,638.1
57872,mouseReleased,1633.0,661.5
58077,mousePosition,1608.0,648.0
58974,mouseReleased,525.0,753.3
59391,mousePosition,714.0,643.5
59871,mouseReleased,1756.0,621.9
60552,mouseReleased,1696.0,639.9
60593,mousePosition,1696.0,639.9
61967,mousePosition,387.0,659.7
62129,mouseReleased,401.0,669.6
63101,mouseReleased,498.0,675.0
63182,mousePosition,506.0,668.7
63686,mouseReleased,398.0,633.6
64132,mouseReleased,1081.0,630.0
64497,mousePosition,1202.0,659.7
65184,mouseReleased,261.0,684.0
65507,mouseReleased,479.0,660.6
65711,mousePosition,479.0,660.6
67040,mousePosition,1302.0,626.4
68342,mousePosition,1033.0,608.4
69355,mouseReleased,1033.0,608.4
69556,mousePosition,1033.0,608.4
70086,,1033.0,608.4
70086,exit,1033.0,608.4
