millis,action,mouse.x,mouse.y
2348,mousePosition,988.0,941.0
2725,mouseReleased,1008.0,1022.0
2960,mousePosition,1005.0,1018.0
3630,mousePosition,570.0,808.0
4320,mousePosition,499.0,786.0
4974,mousePosition,493.0,791.0
5254,mouseReleased,493.0,791.0
5576,mousePosition,493.0,791.0
6167,mousePosition,673.0,740.0
6790,mousePosition,852.0,738.0
7475,mousePosition,847.0,730.0
8159,mousePosition,849.0,730.0
8569,mouseReleased,849.0,730.0
8843,mousePosition,849.0,730.0
9511,mousePosition,925.0,766.0
10115,mousePosition,925.0,766.0
10469,￿,925.0,766.0
10707,mousePosition,925.0,766.0
11321,mousePosition,925.0,766.0
12000,mousePosition,925.0,766.0
12683,mousePosition,925.0,766.0
13358,mousePosition,925.0,766.0
13951,mousePosition,925.0,766.0
14528,mousePosition,925.0,766.0
15087,mousePosition,925.0,766.0
15744,mousePosition,925.0,766.0
16427,mousePosition,925.0,766.0
17117,mousePosition,925.0,766.0
17806,mousePosition,925.0,766.0
18438,mousePosition,925.0,766.0
19040,mousePosition,709.0,434.0
19624,mousePosition,911.0,628.0
20273,mousePosition,886.0,622.0
20802,mouseReleased,886.0,622.0
20960,mousePosition,886.0,622.0
21256,￿,910.0,629.0
21654,mousePosition,910.0,629.0
22272,mousePosition,910.0,629.0
22867,mousePosition,910.0,629.0
23454,mousePosition,910.0,629.0
24098,mousePosition,910.0,629.0
24777,mousePosition,910.0,629.0
25465,mousePosition,910.0,629.0
26149,mousePosition,910.0,629.0
26843,mousePosition,910.0,629.0
27452,mousePosition,893.0,304.0
28035,mousePosition,870.0,218.0
28620,mousePosition,869.0,209.0
29289,mousePosition,869.0,209.0
29972,mousePosition,869.0,208.0
30666,mousePosition,869.0,208.0
30831,mouseReleased,869.0,208.0
31133,￿,915.0,229.0
31293,mousePosition,915.0,229.0
31883,mousePosition,915.0,229.0
32472,mousePosition,915.0,229.0
33106,mousePosition,915.0,229.0
33791,mousePosition,915.0,229.0
34476,mousePosition,915.0,229.0
35133,mousePosition,915.0,229.0
35720,mousePosition,915.0,229.0
36306,mousePosition,915.0,229.0
36918,mousePosition,915.0,229.0
37594,mousePosition,915.0,229.0
38270,mousePosition,915.0,229.0
38952,mousePosition,915.0,229.0
39592,mousePosition,915.0,229.0
40181,mousePosition,915.0,229.0
40763,mousePosition,915.0,229.0
41381,mousePosition,746.0,320.0
42062,mousePosition,839.0,435.0
42737,mousePosition,830.0,297.0
43411,mousePosition,859.0,343.0
44011,mousePosition,830.0,267.0
44586,mousePosition,840.0,369.0
45170,mousePosition,843.0,436.0
45813,mousePosition,852.0,451.0
46497,mousePosition,882.0,543.0
47176,mousePosition,861.0,454.0
47858,mousePosition,847.0,301.0
48495,mousePosition,825.0,324.0
49075,mousePosition,845.0,312.0
49656,mousePosition,911.0,296.0
50278,mousePosition,833.0,301.0
50953,mousePosition,833.0,301.0
51634,mousePosition,833.0,301.0
52317,mousePosition,833.0,301.0
52953,mousePosition,833.0,301.0
53373,￿,833.0,301.0
53552,mousePosition,833.0,301.0
54146,mousePosition,833.0,301.0
54782,mousePosition,833.0,301.0
55449,mousePosition,833.0,301.0
56136,mousePosition,833.0,301.0
56810,mousePosition,833.0,301.0
57438,mousePosition,833.0,301.0
57698,,744.0,547.0
57698,exit,744.0,547.0
