millis,action,mouse.x,mouse.y
2349,mousePosition,808.0,637.0
2853,mouseReleased,975.0,1026.0
3035,mousePosition,838.0,881.0
3374,mouseReleased,457.0,457.0
3724,mousePosition,430.0,458.0
3866,mouseReleased,424.0,458.0
4390,mousePosition,424.0,458.0
4981,mousePosition,1348.0,487.0
5139,mouseReleased,1348.0,487.0
5591,mousePosition,998.0,909.0
5934,mouseReleased,1029.0,1014.0
6220,mousePosition,1032.0,985.0
6907,mousePosition,1104.0,954.0
7598,mousePosition,843.0,509.0
7738,mouseReleased,843.0,508.0
8200,mousePosition,858.0,866.0
8789,mousePosition,189.0,630.0
9120,mouseReleased,724.0,815.0
9380,mousePosition,869.0,734.0
10073,mousePosition,1242.0,574.0
10774,mousePosition,1242.0,574.0
11463,mousePosition,1242.0,574.0
12155,mousePosition,1242.0,574.0
12757,mousePosition,1242.0,574.0
13349,mousePosition,1242.0,574.0
13941,mousePosition,1242.0,574.0
14115,,1242.0,574.0
14115,exit,1242.0,574.0
